Country Name,Country Code,Indicator Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,"GDP per capita, PPP (current international $)",23309.02052,25020.50717,25661.319,26529.23395,27714.71661,27707.43423,27562.45967,29222.89491,29509.87661,29718.16982,32031.55543,31062.34929,29847.92835,30355.73238,33053.24653,34050.47157,35167.16636,36621.03511,37249.45046,33552.88982,32624.20909,34326.14482,33569.1865,36477.77939,36444.26206,36765.11607,37359.37344,38442.41384,,
Afghanistan,AFG,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,877.0144235,927.8575479,925.4416162,1023.05163,1077.761907,1228.704135,1272.573204,1519.692548,1710.575645,1699.487997,1914.774351,2015.514962,2069.424642,2087.305323,2128.988026,2202.570851,2241.923246,2293.551684
Angola,AGO,"GDP per capita, PPP (current international $)",3267.067004,3299.500756,3075.122933,2316.543643,2321.581288,2639.510275,2955.356381,3122.898809,3201.146301,3212.121577,3275.128628,3374.481997,3768.716445,3822.127628,4207.120526,4816.706304,5338.740473,6024.339584,6578.60518,6442.579618,6587.986901,6710.750346,7412.965263,7682.477158,8179.296007,7337.569559,7103.225938,7310.901738,7097.118768,6929.678158
Albania,ALB,"GDP per capita, PPP (current international $)",2548.875438,1908.666551,1822.880298,2056.9674,2289.3364,2665.140064,2979.367775,2716.725188,3021.007273,3471.654864,3862.27205,4301.364166,4661.367207,4994.585474,5422.802952,5865.324803,6558.638934,7275.804301,8228.336609,8821.512664,9635.183332,10207.76944,10526.29502,10570.97718,11259.24621,11661.97687,12002.9319,13037.01002,13833.9816,14495.07851
Andorra,AND,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"GDP per capita, PPP (current international $)",6851.732087,7419.537451,7824.596626,8021.948011,8216.130174,8350.17564,8687.177418,9001.711806,9405.352678,9526.801856,10044.09785,10210.30968,10201.27755,10660.27425,11683.73611,12440.94874,13288.10316,13914.32088,14656.03738,14522.4436,15025.46757,15514.35893,16546.02371,16501.66971,16213.19333,14609.63202,14012.69793,14557.76847,14972.43073,15216.54346
United Arab Emirates,ARE,"GDP per capita, PPP (current international $)",87226.53927,85847.32201,85624.90581,83847.70353,86706.29824,89724.48933,91943.13737,96179.97228,92627.86598,91710.39095,98363.73131,96722.59638,95549.97018,99238.33634,101871.5094,97669.99359,95678.28165,87101.68305,79730.94911,68166.44441,64881.85646,67686.39295,69102.49129,70374.22006,73619.10058,64901.85202,63968.85387,67183.62656,68548.51472,69900.87785
Argentina,ARG,"GDP per capita, PPP (current international $)",7195.691444,8005.465558,8719.101682,9532.888696,10175.12512,9969.600598,10586.11057,11507.89833,11949.41602,11581.89051,11618.79607,11226.87734,10052.48666,11025.18552,12214.74008,13568.76676,14951.72819,16570.01117,17404.06871,16334.74001,18061.93436,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23562.91883,23282.63704,22947.1398
Armenia,ARM,"GDP per capita, PPP (current international $)",2773.937657,2555.995824,1549.084965,1480.515155,1632.342879,1818.286948,1990.577896,2115.611643,2313.620772,2439.911173,2658.349518,2995.907863,3463.98378,4043.663101,4614.862114,5455.422185,6411.806636,7551.635907,8300.483424,7233.044937,7506.308865,8025.452905,9364.407767,9835.833011,10036.88984,9969.685301,10704.23341,12115.05701,13014.99203,14219.62771
American Samoa,ASM,"GDP per capita, PPP (current international $)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",11595.09015,12085.9845,12290.47004,12982.98807,13845.13892,13230.59946,14055.08574,14757.70638,15305.45061,15789.46794,16918.59609,16178.60205,16373.16,17463.35539,18717.72024,20253.77387,23170.31627,25586.80717,25657.99856,22369.99356,20611.91407,20347.18454,19597.59032,18796.39395,19039.0045,18912.31748,19918.79063,19840.07612,21614.06606,22816.4522
Australia,AUS,"GDP per capita, PPP (current international $)",17332.33387,17784.35669,18176.89108,19118.8705,20051.38021,20878.66351,21957.40164,22924.91501,24172.6781,25264.36436,26318.41621,27356.53206,28718.24108,29732.1296,31299.84952,32575.06925,34290.52448,36546.47319,37459.30765,40301.95776,39301.60265,41965.35842,42826.78958,45902.04795,46880.22066,46276.15069,47349.92795,48905.4172,51036.40589,53320.26904
Austria,AUT,"GDP per capita, PPP (current international $)",19436.76437,20579.13804,21253.56497,21692.13399,22600.3979,23653.65842,24516.64812,25418.14922,26674.52283,27606.48303,29387.0283,29715.51204,31178.69333,32109.13812,33743.19828,35013.71404,37616.74016,39389.68501,41316.22518,40957.50075,42037.49048,44452.73275,46457.34578,47922.04912,48799.71547,49879.26647,52633.25429,54637.00128,56871.2114,59110.56256
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",5360.070529,5417.78633,4224.438786,3275.423184,2650.261176,2359.216402,2409.193306,2567.987405,2829.595097,3055.925307,3442.631932,3836.599591,4233.440063,4716.377612,5245.425251,6850.813019,9387.109349,11957.39117,13200.94071,14248.89246,14926.63764,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14544.95336,15000.8165
Burundi,BDI,"GDP per capita, PPP (current international $)",615.0721012,652.5328462,659.8399257,621.0367308,599.5692084,555.3675293,514.0202756,509.3573911,534.0240262,529.2837024,527.0808747,537.3595436,554.9452616,541.7644683,565.0423505,569.2745851,598.5076762,615.2304984,636.3321807,644.1046373,663.0547952,681.9716213,690.6881405,740.9842308,777.0415572,841.6463572,796.9443873,773.5718584,779.4938184,782.8165888
Belgium,BEL,"GDP per capita, PPP (current international $)",18653.79622,19565.28482,20235.19857,20435.40844,21479.00662,22405.3678,22703.99645,23724.26593,24368.44486,25440.84119,27794.97786,28800.38793,30282.28865,30899.06542,32034.01508,33177.89095,35216.64971,36752.98285,37883.33194,37785.86817,39866.72727,40942.37271,42290.76205,43671.11959,44929.68559,46213.26653,48608.95778,50725.18631,52249.57346,54545.15088
Benin,BEN,"GDP per capita, PPP (current international $)",1259.572448,1312.125799,1334.477698,1396.083603,1405.70911,1472.633753,1516.003958,1581.943093,1614.630052,1675.2458,1759.719075,1837.804034,1895.00044,1936.88123,2015.637506,2052.528339,2135.262731,2258.491878,2347.922705,2353.634208,2364.118351,2416.327107,2498.497313,2669.689821,2833.411926,2886.831867,3004.809187,3044.513887,3235.361695,3423.551727
